chr_r1,start_r1,end_r1,name_r1,chr_r2,start_r2,end_r2,name_r2,label
chr1,11968338,11969338,chr1:11968338..11969338,chr17,79480219,79481219,chr17:79480219..79481219,0
chr1,11966338,11967338,chr1:11966338..11967338,chr17,79478219,79479219,chr17:79478219..79479219,0
chr1,11968256,11969256,chr1:11967049..11969652,chr17,62492594,62493594,chr17:62491960..62493596,1
chr1,11970256,11971256,chr1:11970256..11971256,chr17,62494594,62495594,chr17:62494594..62495594,0
chr1,11966256,11967256,chr1:11966256..11967256,chr17,62490594,62491594,chr17:62490594..62491594,0
chr1,11968256,11969256,chr1:11968256..11969256,chr17,62494594,62495594,chr17:62494594..62495594,0
chr1,11966256,11967256,chr1:11966256..11967256,chr17,62492594,62493594,chr17:62492594..62493594,0
chr1,11968571,11969571,chr1:11967399..11970292,chr17,73771232,73772232,chr17:73770161..73772364,1
chr1,11970571,11971571,chr1:11970571..11971571,chr17,73773232,73774232,chr17:73773232..73774232,0
chr1,11966571,11967571,chr1:11966571..11967571,chr17,73769232,73770232,chr17:73769232..73770232,0
chr1,11968571,11969571,chr1:11968571..11969571,chr17,73773232,73774232,chr17:73773232..73774232,0
chr1,11966571,11967571,chr1:11966571..11967571,chr17,73771232,73772232,chr17:73771232..73772232,0
chr1,11968457,11969457,chr1:11967745..11970053,chr11,62607932,62608932,chr11:62606498..62608951,1
chr1,11970457,11971457,chr1:11970457..11971457,chr11,62609932,62610932,chr11:62609932..62610932,0
chr1,11966457,11967457,chr1:11966457..11967457,chr11,62605932,62606932,chr11:62605932..62606932,0
chr1,11968457,11969457,chr1:11968457..11969457,chr11,62609932,62610932,chr11:62609932..62610932,0
chr1,11966457,11967457,chr1:11966457..11967457,chr11,62607932,62608932,chr11:62607932..62608932,0
chr1,11968381,11969381,chr1:11967913..11969849,chr6,26197003,26198003,chr6:26197150..26199145,1
chr1,11970381,11971381,chr1:11970381..11971381,chr6,26199003,26200003,chr6:26199003..26200003,0
chr1,11966381,11967381,chr1:11966381..11967381,chr6,26195003,26196003,chr6:26195003..26196003,0
chr1,11968381,11969381,chr1:11968381..11969381,chr6,26199003,26200003,chr6:26199003..26200003,0
chr1,11966381,11967381,chr1:11966381..11967381,chr6,26197003,26198003,chr6:26197003..26198003,0
chr1,11968436,11969436,chr1:11967939..11969934,chr6,30687496,30688496,chr6:30686668..30688660,1
chr1,11970436,11971436,chr1:11970436..11971436,chr6,30689496,30690496,chr6:30689496..30690496,0
chr1,11966436,11967436,chr1:11966436..11967436,chr6,30685496,30686496,chr6:30685496..30686496,0
chr1,11968436,11969436,chr1:11968436..11969436,chr6,30689496,30690496,chr6:30689496..30690496,0
chr1,11966436,11967436,chr1:11966436..11967436,chr6,30687496,30688496,chr6:30687496..30688496,0
chr1,11968459,11969459,chr1:11968059..11969860,chr11,65274514,65275514,chr11:65274533..65276646,1
chr1,11970459,11971459,chr1:11970459..11971459,chr11,65276514,65277514,chr11:65276514..65277514,0
chr1,11966459,11967459,chr1:11966459..11967459,chr11,65272514,65273514,chr11:65272514..65273514,0
chr1,11968459,11969459,chr1:11968459..11969459,chr11,65276514,65277514,chr11:65276514..65277514,0
chr1,11966459,11967459,chr1:11966459..11967459,chr11,65274514,65275514,chr11:65274514..65275514,0
chr1,11968615,11969615,chr1:11968063..11970167,chr17,39844862,39845862,chr17:39843909..39846460,1
chr1,11970615,11971615,chr1:11970615..11971615,chr17,39846862,39847862,chr17:39846862..39847862,0
chr1,11966615,11967615,chr1:11966615..11967615,chr17,39842862,39843862,chr17:39842862..39843862,0
chr1,11968615,11969615,chr1:11968615..11969615,chr17,39846862,39847862,chr17:39846862..39847862,0
chr1,11966615,11967615,chr1:11966615..11967615,chr17,39844862,39845862,chr17:39844862..39845862,0
chr1,11968710,11969710,chr1:11968139..11970689,chr6,30584268,30585268,chr6:30583623..30585914,1
chr1,11970710,11971710,chr1:11970710..11971710,chr6,30586268,30587268,chr6:30586268..30587268,0
chr1,11966710,11967710,chr1:11966710..11967710,chr6,30582268,30583268,chr6:30582268..30583268,0
chr1,11968710,11969710,chr1:11968710..11969710,chr6,30586268,30587268,chr6:30586268..30587268,0
chr1,11966710,11967710,chr1:11966710..11967710,chr6,30584268,30585268,chr6:30584268..30585268,0
chr1,11968780,11969780,chr1:11968315..11970245,chr3,44480953,44481953,chr3:44480423..44482560,1
chr1,11970780,11971780,chr1:11970780..11971780,chr3,44482953,44483953,chr3:44482953..44483953,0
chr1,11966780,11967780,chr1:11966780..11967780,chr3,44478953,44479953,chr3:44478953..44479953,0
chr1,11968780,11969780,chr1:11968780..11969780,chr3,44482953,44483953,chr3:44482953..44483953,0
chr1,11966780,11967780,chr1:11966780..11967780,chr3,44480953,44481953,chr3:44480953..44481953,0
chr1,11968907,11969907,chr1:11968532..11970337,chr14,103800031,103801031,chr14:103800121..103801990,1
chr1,11970907,11971907,chr1:11970907..11971907,chr14,103802031,103803031,chr14:103802031..103803031,0
chr1,11966907,11967907,chr1:11966907..11967907,chr14,103798031,103799031,chr14:103798031..103799031,0
chr1,11968907,11969907,chr1:11968907..11969907,chr14,103802031,103803031,chr14:103802031..103803031,0
chr1,11966907,11967907,chr1:11966907..11967907,chr14,103800031,103801031,chr14:103800031..103801031,0
chr1,11968924,11969924,chr1:11968567..11970321,chr12,6643855,6644855,chr12:6643561..6645149,1
chr1,11970924,11971924,chr1:11970924..11971924,chr12,6645855,6646855,chr12:6645855..6646855,0
chr1,11966924,11967924,chr1:11966924..11967924,chr12,6641855,6642855,chr12:6641855..6642855,0
chr1,11968924,11969924,chr1:11968924..11969924,chr12,6645855,6646855,chr12:6645855..6646855,0
chr1,11966924,11967924,chr1:11966924..11967924,chr12,6643855,6644855,chr12:6643855..6644855,0
chr1,11968955,11969955,chr1:11968629..11970333,chr5,137804594,137805594,chr5:137804176..137806013,1
chr1,11970955,11971955,chr1:11970955..11971955,chr5,137806594,137807594,chr5:137806594..137807594,0
chr1,11966955,11967955,chr1:11966955..11967955,chr5,137802594,137803594,chr5:137802594..137803594,0
chr1,11968955,11969955,chr1:11968955..11969955,chr5,137806594,137807594,chr5:137806594..137807594,0
chr1,11966955,11967955,chr1:11966955..11967955,chr5,137804594,137805594,chr5:137804594..137805594,0
chr1,16970614,16971614,chr1:16964923..16974624,chr3,49726322,49727322,chr3:49722461..49732046,1
chr1,16972614,16973614,chr1:16972614..16973614,chr3,49728322,49729322,chr3:49728322..49729322,0
chr1,16968614,16969614,chr1:16968614..16969614,chr3,49724322,49725322,chr3:49724322..49725322,0
chr1,16970614,16971614,chr1:16970614..16971614,chr3,49728322,49729322,chr3:49728322..49729322,0
chr1,16968614,16969614,chr1:16968614..16969614,chr3,49726322,49727322,chr3:49726322..49727322,0
chr1,17221788,17222788,chr1:17220611..17222680,chr11,62608056,62609056,chr11:62607417..62609200,1
chr1,17223788,17224788,chr1:17223788..17224788,chr11,62610056,62611056,chr11:62610056..62611056,0
chr1,17219788,17220788,chr1:17219788..17220788,chr11,62606056,62607056,chr11:62606056..62607056,0
chr1,17221788,17222788,chr1:17221788..17222788,chr11,62610056,62611056,chr11:62610056..62611056,0
chr1,17219788,17220788,chr1:17219788..17220788,chr11,62608056,62609056,chr11:62608056..62609056,0
chr1,17230660,17231660,chr1:17229434..17231914,chr22,43010109,43011109,chr22:43008725..43010904,1
chr1,17232660,17233660,chr1:17232660..17233660,chr22,43012109,43013109,chr22:43012109..43013109,0
chr1,17228660,17229660,chr1:17228660..17229660,chr22,43008109,43009109,chr22:43008109..43009109,0
chr1,17230660,17231660,chr1:17230660..17231660,chr22,43012109,43013109,chr22:43012109..43013109,0
chr1,17228660,17229660,chr1:17228660..17229660,chr22,43010109,43011109,chr22:43010109..43011109,0
chr1,17230867,17231867,chr1:17230384..17232328,chr11,65271793,65272793,chr11:65270630..65273956,1
chr1,17232867,17233867,chr1:17232867..17233867,chr11,65273793,65274793,chr11:65273793..65274793,0
chr1,17228867,17229867,chr1:17228867..17229867,chr11,65269793,65270793,chr11:65269793..65270793,0
chr1,17230867,17231867,chr1:17230867..17231867,chr11,65273793,65274793,chr11:65273793..65274793,0
chr1,17228867,17229867,chr1:17228867..17229867,chr11,65271793,65272793,chr11:65271793..65272793,0
chr1,23883270,23884270,chr1:23882594..23884384,chr6,27115043,27116043,chr6:27114558..27117900,1
chr1,23885270,23886270,chr1:23885270..23886270,chr6,27117043,27118043,chr6:27117043..27118043,0
chr1,23881270,23882270,chr1:23881270..23882270,chr6,27113043,27114043,chr6:27113043..27114043,0
chr1,23883270,23884270,chr1:23883270..23884270,chr6,27117043,27118043,chr6:27117043..27118043,0
chr1,23881270,23882270,chr1:23881270..23882270,chr6,27115043,27116043,chr6:27115043..27116043,0
chr1,26799283,26800283,chr1:26798835..26801439,chr19,49470278,49471278,chr19:49469818..49471739,1
chr1,26801283,26802283,chr1:26801283..26802283,chr19,49472278,49473278,chr19:49472278..49473278,0
chr1,26797283,26798283,chr1:26797283..26798283,chr19,49468278,49469278,chr19:49468278..49469278,0
chr1,26799283,26800283,chr1:26799283..26800283,chr19,49472278,49473278,chr19:49472278..49473278,0
chr1,26797283,26798283,chr1:26797283..26798283,chr19,49470278,49471278,chr19:49470278..49471278,0
chr1,28832824,28833824,chr1:28832002..28834646,chr16,3069966,3070966,chr16:3068976..3071661,1
chr1,28834824,28835824,chr1:28834824..28835824,chr16,3071966,3072966,chr16:3071966..3072966,0
chr1,28830824,28831824,chr1:28830824..28831824,chr16,3067966,3068966,chr16:3067966..3068966,0
chr1,28832824,28833824,chr1:28832824..28833824,chr16,3071966,3072966,chr16:3071966..3072966,0
chr1,28830824,28831824,chr1:28830824..28831824,chr16,3069966,3070966,chr16:3069966..3070966,0
chr1,28832825,28833825,chr1:28832511..28834139,chr22,19466305,19467305,chr22:19464610..19467149,1
chr1,28834825,28835825,chr1:28834825..28835825,chr22,19468305,19469305,chr22:19468305..19469305,0
chr1,28830825,28831825,chr1:28830825..28831825,chr22,19464305,19465305,chr22:19464305..19465305,0
chr1,28832825,28833825,chr1:28832825..28833825,chr22,19468305,19469305,chr22:19468305..19469305,0
chr1,28830825,28831825,chr1:28830825..28831825,chr22,19466305,19467305,chr22:19466305..19467305,0
chr1,28835415,28836415,chr1:28834867..28836963,chr3,52312129,52313129,chr3:52311963..52313620,1
chr1,28837415,28838415,chr1:28837415..28838415,chr3,52314129,52315129,chr3:52314129..52315129,0
chr1,28833415,28834415,chr1:28833415..28834415,chr3,52310129,52311129,chr3:52310129..52311129,0
chr1,28835415,28836415,chr1:28835415..28836415,chr3,52314129,52315129,chr3:52314129..52315129,0
chr1,28833415,28834415,chr1:28833415..28834415,chr3,52312129,52313129,chr3:52312129..52313129,0
chr1,28836045,28837045,chr1:28835318..28837772,chr19,11201041,11202041,chr19:11201088..11202982,1
chr1,28838045,28839045,chr1:28838045..28839045,chr19,11203041,11204041,chr19:11203041..11204041,0
chr1,28834045,28835045,chr1:28834045..28835045,chr19,11199041,11200041,chr19:11199041..11200041,0
chr1,28836045,28837045,chr1:28836045..28837045,chr19,11203041,11204041,chr19:11203041..11204041,0
chr1,28834045,28835045,chr1:28834045..28835045,chr19,11201041,11202041,chr19:11201041..11202041,0
chr1,28836301,28837301,chr1:28835598..28838005,chr7,26239562,26240562,chr7:26238948..26241176,1
chr1,28838301,28839301,chr1:28838301..28839301,chr7,26241562,26242562,chr7:26241562..26242562,0
chr1,28834301,28835301,chr1:28834301..28835301,chr7,26237562,26238562,chr7:26237562..26238562,0
chr1,28836301,28837301,chr1:28836301..28837301,chr7,26241562,26242562,chr7:26241562..26242562,0
chr1,28834301,28835301,chr1:28834301..28835301,chr7,26239562,26240562,chr7:26239562..26240562,0
chr1,28836449,28837449,chr1:28835832..28838067,chr19,12901792,12902792,chr19:12901522..12903974,1
chr1,28838449,28839449,chr1:28838449..28839449,chr19,12903792,12904792,chr19:12903792..12904792,0
chr1,28834449,28835449,chr1:28834449..28835449,chr19,12899792,12900792,chr19:12899792..12900792,0
chr1,28836449,28837449,chr1:28836449..28837449,chr19,12903792,12904792,chr19:12903792..12904792,0
chr1,28834449,28835449,chr1:28834449..28835449,chr19,12901792,12902792,chr19:12901792..12902792,0
chr1,28837325,28838325,chr1:28836365..28839286,chr11,65273852,65274852,chr11:65273300..65275404,1
chr1,28839325,28840325,chr1:28839325..28840325,chr11,65275852,65276852,chr11:65275852..65276852,0
chr1,28835325,28836325,chr1:28835325..28836325,chr11,65271852,65272852,chr11:65271852..65272852,0
chr1,28837325,28838325,chr1:28837325..28838325,chr11,65275852,65276852,chr11:65275852..65276852,0
chr1,28835325,28836325,chr1:28835325..28836325,chr11,65273852,65274852,chr11:65273852..65274852,0
chr1,28837630,28838630,chr1:28837084..28839176,chr17,56406350,56407350,chr17:56405444..56408256,1
chr1,28839630,28840630,chr1:28839630..28840630,chr17,56408350,56409350,chr17:56408350..56409350,0
chr1,28835630,28836630,chr1:28835630..28836630,chr17,56404350,56405350,chr17:56404350..56405350,0
chr1,28837630,28838630,chr1:28837630..28838630,chr17,56408350,56409350,chr17:56408350..56409350,0
chr1,28835630,28836630,chr1:28835630..28836630,chr17,56406350,56407350,chr17:56406350..56407350,0
chr1,28907817,28908817,chr1:28907814..28909355,chr9,130829298,130830298,chr9:130827899..130830412,1
chr1,28909817,28910817,chr1:28909817..28910817,chr9,130831298,130832298,chr9:130831298..130832298,0
chr1,28905817,28906817,chr1:28905817..28906817,chr9,130827298,130828298,chr9:130827298..130828298,0
chr1,28907817,28908817,chr1:28907817..28908817,chr9,130831298,130832298,chr9:130831298..130832298,0
chr1,28905817,28906817,chr1:28905817..28906817,chr9,130829298,130830298,chr9:130829298..130830298,0
chr1,28974499,28975499,chr1:28973733..28975604,chr19,18284162,18285162,chr19:18282504..18285384,1
chr1,28976499,28977499,chr1:28976499..28977499,chr19,18286162,18287162,chr19:18286162..18287162,0
chr1,28972499,28973499,chr1:28972499..28973499,chr19,18282162,18283162,chr19:18282162..18283162,0
chr1,28974499,28975499,chr1:28974499..28975499,chr19,18286162,18287162,chr19:18286162..18287162,0
chr1,28972499,28973499,chr1:28972499..28973499,chr19,18284162,18285162,chr19:18284162..18285162,0
chr1,28974736,28975736,chr1:28973733..28976331,chr22,39714906,39715906,chr22:39714312..39717087,1
chr1,28976736,28977736,chr1:28976736..28977736,chr22,39716906,39717906,chr22:39716906..39717906,0
chr1,28972736,28973736,chr1:28972736..28973736,chr22,39712906,39713906,chr22:39712906..39713906,0
chr1,28974736,28975736,chr1:28974736..28975736,chr22,39716906,39717906,chr22:39716906..39717906,0
chr1,28972736,28973736,chr1:28972736..28973736,chr22,39714906,39715906,chr22:39714906..39715906,0
chr1,28974736,28975736,chr1:28973827..28976562,chr6,26284446,26285446,chr6:26282453..26285142,1
chr1,28976736,28977736,chr1:28976736..28977736,chr6,26286446,26287446,chr6:26286446..26287446,0
chr1,28972736,28973736,chr1:28972736..28973736,chr6,26282446,26283446,chr6:26282446..26283446,0
chr1,28974736,28975736,chr1:28974736..28975736,chr6,26286446,26287446,chr6:26286446..26287446,0
chr1,28972736,28973736,chr1:28972736..28973736,chr6,26284446,26285446,chr6:26284446..26285446,0
chr1,28974466,28975466,chr1:28973975..28975538,chr2,121831980,121832980,chr2:121830412..121832939,1
chr1,28976466,28977466,chr1:28976466..28977466,chr2,121833980,121834980,chr2:121833980..121834980,0
chr1,28972466,28973466,chr1:28972466..28973466,chr2,121829980,121830980,chr2:121829980..121830980,0
chr1,28974466,28975466,chr1:28974466..28975466,chr2,121833980,121834980,chr2:121833980..121834980,0
chr1,28972466,28973466,chr1:28972466..28973466,chr2,121831980,121832980,chr2:121831980..121832980,0
chr1,28974736,28975736,chr1:28974027..28976426,chr22,43011016,43012016,chr22:43010948..43012967,1
chr1,28976736,28977736,chr1:28976736..28977736,chr22,43013016,43014016,chr22:43013016..43014016,0
chr1,28972736,28973736,chr1:28972736..28973736,chr22,43009016,43010016,chr22:43009016..43010016,0
chr1,28974736,28975736,chr1:28974736..28975736,chr22,43013016,43014016,chr22:43013016..43014016,0
chr1,28972736,28973736,chr1:28972736..28973736,chr22,43011016,43012016,chr22:43011016..43012016,0
chr1,28974897,28975897,chr1:28974717..28976594,chr19,1269603,1270603,chr19:1269066..1271141,1
chr1,28976897,28977897,chr1:28976897..28977897,chr19,1271603,1272603,chr19:1271603..1272603,0
chr1,28972897,28973897,chr1:28972897..28973897,chr19,1267603,1268603,chr19:1267603..1268603,0
chr1,28974897,28975897,chr1:28974897..28975897,chr19,1271603,1272603,chr19:1271603..1272603,0
chr1,28972897,28973897,chr1:28972897..28973897,chr19,1269603,1270603,chr19:1269603..1270603,0
chr1,28974997,28975997,chr1:28974918..28976832,chr11,65196972,65197972,chr11:65196305..65198800,1
chr1,28976997,28977997,chr1:28976997..28977997,chr11,65198972,65199972,chr11:65198972..65199972,0
chr1,28972997,28973997,chr1:28972997..28973997,chr11,65194972,65195972,chr11:65194972..65195972,0
chr1,28974997,28975997,chr1:28974997..28975997,chr11,65198972,65199972,chr11:65198972..65199972,0
chr1,28972997,28973997,chr1:28972997..28973997,chr11,65196972,65197972,chr11:65196972..65197972,0
chr1,35644835,35645835,chr1:35644190..35646480,chr6,26029879,26030879,chr6:26028199..26030467,1
chr1,35646835,35647835,chr1:35646835..35647835,chr6,26031879,26032879,chr6:26031879..26032879,0
chr1,35642835,35643835,chr1:35642835..35643835,chr6,26027879,26028879,chr6:26027879..26028879,0
chr1,35644835,35645835,chr1:35644835..35645835,chr6,26031879,26032879,chr6:26031879..26032879,0
chr1,35642835,35643835,chr1:35642835..35643835,chr6,26029879,26030879,chr6:26029879..26030879,0
chr1,35647357,35648357,chr1:35646993..35648722,chrX,154003751,154004751,chrX:154003170..154005333,1
chr1,35649357,35650357,chr1:35649357..35650357,chrX,154005751,154006751,chrX:154005751..154006751,0
chr1,35645357,35646357,chr1:35645357..35646357,chrX,154001751,154002751,chrX:154001751..154002751,0
chr1,35647357,35648357,chr1:35647357..35648357,chrX,154005751,154006751,chrX:154005751..154006751,0
chr1,35645357,35646357,chr1:35645357..35646357,chrX,154003751,154004751,chrX:154003751..154004751,0
chr1,36395850,36396850,chr1:36394673..36397479,chr8,97273388,97274388,chr8:97273114..97274706,1
chr1,36397850,36398850,chr1:36397850..36398850,chr8,97275388,97276388,chr8:97275388..97276388,0
chr1,36393850,36394850,chr1:36393850..36394850,chr8,97271388,97272388,chr8:97271388..97272388,0
chr1,36395850,36396850,chr1:36395850..36396850,chr8,97275388,97276388,chr8:97275388..97276388,0
chr1,36393850,36394850,chr1:36393850..36394850,chr8,97273388,97274388,chr8:97273388..97274388,0
chr1,38470805,38471805,chr1:38470594..38472979,chr11,65195101,65196101,chr11:65194613..65196590,1
chr1,38472805,38473805,chr1:38472805..38473805,chr11,65197101,65198101,chr11:65197101..65198101,0
chr1,38468805,38469805,chr1:38468805..38469805,chr11,65193101,65194101,chr11:65193101..65194101,0
chr1,38470805,38471805,chr1:38470805..38471805,chr11,65197101,65198101,chr11:65197101..65198101,0
chr1,38468805,38469805,chr1:38468805..38469805,chr11,65195101,65196101,chr11:65195101..65196101,0
chr1,43148127,43149127,chr1:43147649..43150199,chr11,65195003,65196003,chr11:65194283..65196724,1
chr1,43150127,43151127,chr1:43150127..43151127,chr11,65197003,65198003,chr11:65197003..65198003,0
chr1,43146127,43147127,chr1:43146127..43147127,chr11,65193003,65194003,chr11:65193003..65194003,0
chr1,43148127,43149127,chr1:43148127..43149127,chr11,65197003,65198003,chr11:65197003..65198003,0
chr1,43146127,43147127,chr1:43146127..43147127,chr11,65195003,65196003,chr11:65195003..65196003,0
chr1,44172713,44173713,chr1:44172535..44174671,chr5,137803325,137804325,chr5:137802994..137804656,1
chr1,44174713,44175713,chr1:44174713..44175713,chr5,137805325,137806325,chr5:137805325..137806325,0
chr1,44170713,44171713,chr1:44170713..44171713,chr5,137801325,137802325,chr5:137801325..137802325,0
chr1,44172713,44173713,chr1:44172713..44173713,chr5,137805325,137806325,chr5:137805325..137806325,0
chr1,44170713,44171713,chr1:44170713..44171713,chr5,137803325,137804325,chr5:137803325..137804325,0
chr1,45186263,45187263,chr1:45184834..45186919,chr19,13263853,13264853,chr19:13262940..13265766,1
chr1,45188263,45189263,chr1:45188263..45189263,chr19,13265853,13266853,chr19:13265853..13266853,0
chr1,45184263,45185263,chr1:45184263..45185263,chr19,13261853,13262853,chr19:13261853..13262853,0
chr1,45186263,45187263,chr1:45186263..45187263,chr19,13265853,13266853,chr19:13265853..13266853,0
chr1,45184263,45185263,chr1:45184263..45185263,chr19,13263853,13264853,chr19:13263853..13264853,0
chr1,45186522,45187522,chr1:45185730..45187437,chr6,27113015,27114015,chr6:27112337..27114693,1
chr1,45188522,45189522,chr1:45188522..45189522,chr6,27115015,27116015,chr6:27115015..27116015,0
chr1,45184522,45185522,chr1:45184522..45185522,chr6,27111015,27112015,chr6:27111015..27112015,0
chr1,45186522,45187522,chr1:45186522..45187522,chr6,27115015,27116015,chr6:27115015..27116015,0
chr1,45184522,45185522,chr1:45184522..45185522,chr6,27113015,27114015,chr6:27113015..27114015,0
chr1,45186841,45187841,chr1:45185948..45188875,chr19,12903927,12904927,chr19:12903191..12905890,1
chr1,45188841,45189841,chr1:45188841..45189841,chr19,12905927,12906927,chr19:12905927..12906927,0
chr1,45184841,45185841,chr1:45184841..45185841,chr19,12901927,12902927,chr19:12901927..12902927,0
chr1,45186841,45187841,chr1:45186841..45187841,chr19,12905927,12906927,chr19:12905927..12906927,0
chr1,45184841,45185841,chr1:45184841..45185841,chr19,12903927,12904927,chr19:12903927..12904927,0
chr1,45186702,45187702,chr1:45186114..45187796,chr6,26025524,26026524,chr6:26023695..26026334,1
chr1,45188702,45189702,chr1:45188702..45189702,chr6,26027524,26028524,chr6:26027524..26028524,0
chr1,45184702,45185702,chr1:45184702..45185702,chr6,26023524,26024524,chr6:26023524..26024524,0
chr1,45186702,45187702,chr1:45186702..45187702,chr6,26027524,26028524,chr6:26027524..26028524,0
chr1,45184702,45185702,chr1:45184702..45185702,chr6,26025524,26026524,chr6:26025524..26026524,0
chr1,45186841,45187841,chr1:45186357..45188685,chr2,47402822,47403822,chr2:47401476..47403610,1
chr1,45188841,45189841,chr1:45188841..45189841,chr2,47404822,47405822,chr2:47404822..47405822,0
chr1,45184841,45185841,chr1:45184841..45185841,chr2,47400822,47401822,chr2:47400822..47401822,0
chr1,45186841,45187841,chr1:45186841..45187841,chr2,47404822,47405822,chr2:47404822..47405822,0
chr1,45184841,45185841,chr1:45184841..45185841,chr2,47402822,47403822,chr2:47402822..47403822,0
chr1,45186841,45187841,chr1:45186559..45188901,chr5,137803452,137804452,chr5:137802927..137804977,1
chr1,45188841,45189841,chr1:45188841..45189841,chr5,137805452,137806452,chr5:137805452..137806452,0
chr1,45184841,45185841,chr1:45184841..45185841,chr5,137801452,137802452,chr5:137801452..137802452,0
chr1,45186841,45187841,chr1:45186841..45187841,chr5,137805452,137806452,chr5:137805452..137806452,0
chr1,45184841,45185841,chr1:45184841..45185841,chr5,137803452,137804452,chr5:137803452..137804452,0
chr1,45187001,45188001,chr1:45186929..45188769,chr5,137806070,137807070,chr5:137806384..137807942,1
chr1,45189001,45190001,chr1:45189001..45190001,chr5,137808070,137809070,chr5:137808070..137809070,0
chr1,45185001,45186001,chr1:45185001..45186001,chr5,137804070,137805070,chr5:137804070..137805070,0
chr1,45187001,45188001,chr1:45187001..45188001,chr5,137808070,137809070,chr5:137808070..137809070,0
chr1,45185001,45186001,chr1:45185001..45186001,chr5,137806070,137807070,chr5:137806070..137807070,0
chr1,45187102,45188102,chr1:45187131..45188881,chr17,76170298,76171298,chr17:76170257..76172552,1
chr1,45189102,45190102,chr1:45189102..45190102,chr17,76172298,76173298,chr17:76172298..76173298,0
chr1,45185102,45186102,chr1:45185102..45186102,chr17,76168298,76169298,chr17:76168298..76169298,0
chr1,45187102,45188102,chr1:45187102..45188102,chr17,76172298,76173298,chr17:76172298..76173298,0
chr1,45185102,45186102,chr1:45185102..45186102,chr17,76170298,76171298,chr17:76170298..76171298,0
chr1,45187136,45188136,chr1:45187198..45188904,chr8,144690184,144691184,chr8:144688968..144691875,1
chr1,45189136,45190136,chr1:45189136..45190136,chr8,144692184,144693184,chr8:144692184..144693184,0
chr1,45185136,45186136,chr1:45185136..45186136,chr8,144688184,144689184,chr8:144688184..144689184,0
chr1,45187136,45188136,chr1:45187136..45188136,chr8,144692184,144693184,chr8:144692184..144693184,0
chr1,45185136,45186136,chr1:45185136..45186136,chr8,144690184,144691184,chr8:144690184..144691184,0
chr1,45195916,45196916,chr1:45195240..45197023,chr5,137804216,137805216,chr5:137803503..137805930,1
chr1,45197916,45198916,chr1:45197916..45198916,chr5,137806216,137807216,chr5:137806216..137807216,0
chr1,45193916,45194916,chr1:45193916..45194916,chr5,137802216,137803216,chr5:137802216..137803216,0
